রপ্তানি	﻿রপ্তানি
যে	যে
ভি	ভি
পি	পি
সরকারের	সরকারের
পতনে	পতনে
অকংগ্রেসি	অকংগ্রেসি
দলগুলির	দলগুলির
মধ্যে	মধ্যে
সাম্প্রদায়িকতা	সাম্প্রদায়িকতা
ও	ও
ধর্মনিরপেক্ষ	ধর্মনিরপেক্ষ
শিবিরের	শিবিরের
বিভাজনকে	বিভাজনকে
স্পষ্ট	স্পষ্ট
করে	করে
দিয়েছে	দিয়েছে

কিন্তু	কিন্তু
তার	তার
পরের	পরের
ণওভারে	ণওভারে
যা	যা
ঘটল	ঘটল
তা	তা
সাধারণত	সাধারণত
ঘটে	ঘটে
না	না

যুদ্ধটা	যুদ্ধটা
যে	যে
ডেমোক্রাসীর	ডেমোক্রাসীর
ইস্যুতে	ইস্যুতে
ডিকটেটরশিপের	ডিকটেটরশিপের
সঙ্গে	সঙ্গে
হচ্ছে	হচ্ছে
এটাও	এটাও
উপর	উপর
থেকে	থেকে
দেখতে	দেখতে
আসলে	আসলে
তা	তা
নয়	নয়

একটা	একটা
বয়সের	বয়সের
পরে	পরে
মনে	মনে
হয়	হয়
আমি	আমি
কী	কী
কী	কী
করেছি	করেছি
কেন	কেন
করেছি	করেছি

যেন	যেন
দুটি	দুটি
নক্ষত্র	নক্ষত্র
কবে	কবে
মরে	মরে
গেছে	গেছে
পৃথিবী	পৃথিবী
সে	সে
খবর	খবর
রাখে	রাখে
না	না
বলে	বলে
মনে	মনে
করে	করে
তারা	তারা
দ্যুতিমান	দ্যুতিমান

আবনীর	আবনীর
দুই	দুই
মেয়ে	মেয়ে
এক	এক
ছেলে	ছেলে

আমরা	আমরা
জেনেছি	জেনেছি
যে	যে
পুলিস	পুলিস
নির্বিচারে	নির্বিচারে
গুলি	গুলি
চালিয়ে	চালিয়ে
একজন	একজন
আন্দোলনকারীকে	আন্দোলনকারীকে
হত্যা	হত্যা
করেছে	করেছে

সিন্ধু	সিন্ধু
আর	আর
পাঞ্জাবের	পাঞ্জাবের
লোকেরা	লোকেরা
বেনজিরকে	বেনজিরকে
নাকানিচোবানি	নাকানিচোবানি
খাওয়াচ্ছে	খাওয়াচ্ছে
বিরোধীরা	বিরোধীরা
তাঁর	তাঁর
সাধের	সাধের
সিংহাসনের	সিংহাসনের
পায়া	পায়া
কেটে	কেটে
দেবার	দেবার
জন্য	জন্য
করাতে	করাতে
শান	শান
দিচ্ছে	দিচ্ছে

তারপর	তারপর
এই	এই
মাঠগুলোতে	মাঠগুলোতে
সুপার	সুপার
ডিভিসনের	ডিভিসনের
খেলা	খেলা
হবে	হবে
সেপ্টেম্বর	সেপ্টেম্বর
থেকে	থেকে
ফেব্রুয়ারি	ফেব্রুয়ারি
পর্য্যন্ত	পর্য্যন্ত

তারপরে	তারপরে
দাঁত	দাঁত
পড়ে	পড়ে
লালা	লালা
ঝরে	ঝরে
লোলুপ	লোলুপ
আগ্রহে	আগ্রহে
নকল	নকল
দাঁতের	দাঁতের
সেট	সেট
বসাই	বসাই

তাহলে	তাহলে
হামিদ	হামিদ
সাহেব	সাহেব
গোঁসা	গোঁসা
করবেন	করবেন

অনিমেষ	অনিমেষ
চারপাশে	চারপাশে
খালি	খালি
বারান্দা	বারান্দা
দেখতে	দেখতে
পেল	পেল

তুমি	তুমি
কি	কি
বলো	বলো

কিন্তু	কিন্তু
গ্লিসারল	গ্লিসারল
ম্যানিটল	ম্যানিটল
জাতীয়	জাতীয়
যৌগ	যৌগ
যাহাদের	যাহাদের
দুইটি	দুইটি
পাশাপাশি	পাশাপাশি
কারবন	কারবন
পরমাণুতে	পরমাণুতে
একই	একই
দিকে	দিকে
দুইটি	দুইটি

মূলক	মূলক
বর্তমান	বর্তমান
বোরিক	বোরিক
য়্যাসিডের	য়্যাসিডের
মিশাইলে	মিশাইলে
নিম্নে	নিম্নে
প্রদর্শিত	প্রদর্শিত
মতে	মতে
জটিল	জটিল
যৌগ	যৌগ
সৃষ্টি	সৃষ্টি
করিয়া	করিয়া
উহা	উহা
একটি	একটি
তীব্র	তীব্র
এক	এক
ক্ষারিক	ক্ষারিক
য়্যাসিডের	য়্যাসিডের
ন্যায়	ন্যায়
আচরণ	আচরণ
করে	করে

শিক্ষক	শিক্ষক
শিক্ষা	শিক্ষা
ঘটিত	ঘটিত
সমস্যাদি	সমস্যাদি

সম্ভবত	সম্ভবত
রামগুপ্ত	রামগুপ্ত
কোন	কোন
স্থানীয়	স্থানীয়
নৃপতি	নৃপতি
ছিলেন	ছিলেন
এবং	এবং
তাঁহার	তাঁহার
নামাঙ্কিত	নামাঙ্কিত
মুদ্রা	মুদ্রা
ও	ও
গুপ্ত	গুপ্ত
উপাধির	উপাধির
উপর	উপর
নির্ভর	নির্ভর
করিয়া	করিয়া
আলটেকর	আলটেকর
প্রমুখ	প্রমুখ
ঐতিহাসিকগণ	ঐতিহাসিকগণ
তাঁহাকে	তাঁহাকে
দ্বিতীয়	দ্বিতীয়
চন্দ্রগুপ্তের	চন্দ্রগুপ্তের
প্রতিদ্বন্দ্বী	প্রতিদ্বন্দ্বী
ভ্রাতা	ভ্রাতা
বলিয়া	বলিয়া
অভিহিত	অভিহিত
করিয়াছেন	করিয়াছেন

জেলের	জেলের
নাম	নাম
হোউমাডি	হোউমাডি
হাসানি	হাসানি

অত	অত
মুরগীর	মুরগীর
খাবার	খাবার
জল	জল
তদারকি	তদারকি
সেও	সেও
ত	ত
এক	এক
সমস্যা	সমস্যা

কোথা	কোথা
থেকে	থেকে
একটা	একটা
জ্যোতি	জ্যোতি
এসে	এসে
গেল	গেল
সারা	সারা
দেহে	দেহে

এই	এই
দুই	দুই
উপায়ে	উপায়ে
কঠিন	কঠিন
শিলার	শিলার
উপর	উপর
চাপ	চাপ
হ্রাস	হ্রাস
পাওয়ায়	পাওয়ায়
কঠিন	কঠিন
শিলা	শিলা
তরল	তরল
অবস্থা	অবস্থা
প্রাপ্ত	প্রাপ্ত
হয়	হয়

আমি	আমি
তো	তো
দেখলাম	দেখলাম
তিমিটার	তিমিটার
লেজের	লেজের
ঝাপটায়	ঝাপটায়
তোমাদের	তোমাদের
নৌকো	নৌকো
চুরমার	চুরমার
হয়ে	হয়ে
গেল	গেল

বস্তুর	বস্তুর
ভিন্ন	ভিন্ন
ভিন্ন	ভিন্ন
দৃশ্যমান	দৃশ্যমান
অবস্থার	অবস্থার
মধ্যে	মধ্যে
আণবিক	আণবিক
অবস্থার	অবস্থার
সংখ্যাও	সংখ্যাও
বিভিন্ন	বিভিন্ন

তা'ছাড়া	তা'ছাড়া
আমার	আমার
বয়েস	বয়েস
তখন	তখন
তনুশ্রীর	তনুশ্রীর
চেয়ে	চেয়ে
বছর	বছর
বেশি	বেশি

মিতাহারী	মিতাহারী
সদাচারী	সদাচারী
লোক	লোক
তা	তা
দিয়েছ	দিয়েছ
দাও	দাও
নেড়ে	নেড়ে
চেড়ে	চেড়ে
খেতে	খেতে
সুবিধা	সুবিধা
হবে	হবে

খবরের	খবরের
কাগজে	কাগজে
বিজ্ঞাপণ	বিজ্ঞাপণ
দেখে	দেখে
উত্সাহী	উত্সাহী
ছবি	ছবি
করিয়েরা	করিয়েরা
যা	যা
পাঠান	পাঠান
তার	তার
ভিত্তিতেই	ভিত্তিতেই
নির্বাচন	নির্বাচন
চলে	চলে

পিছনে	পিছনে
রবাব	রবাব
সারেঙ্গী	সারেঙ্গী
অন্য	অন্য
পরিবেশ	পরিবেশ
রচনা	রচনা
করে	করে

সালে	সালে
টাকা	টাকা
দাবী	দাবী
করেন	করেন
ইষ্ট	ইষ্ট
ইণ্ডিয়া	ইণ্ডিয়া
কোম্পানী	কোম্পানী
এবং	এবং
সৈন্য	সৈন্য
বাহিনী	বাহিনী
নিয়োগ	নিয়োগ
করে	করে
তা	তা
আদায়	আদায়
করেন	করেন

এপ্রিল	এপ্রিল

যখন	যখন
পোষক	পোষক
রোগগ্রস্ত	রোগগ্রস্ত
হইয়া	হইয়া
পড়ে	পড়ে
তখন	তখন
ইহা	ইহা
অপর	অপর
এক	এক
প্রকার	প্রকার
সংক্রামক	সংক্রামক
অঙ্গ	অঙ্গ
বা	বা
রেণু	রেণু
উত্পন্ন	উত্পন্ন
করে	করে
যাহাদের	যাহাদের
সামগ্রিকভাবে	সামগ্রিকভাবে
গৌণ	গৌণ
ইনঅকুলাম	ইনঅকুলাম
বলা	বলা
হয়	হয়

ক্লাউনের	ক্লাউনের
ক্রমাগত	ক্রমাগত
ভাঁড়ামি	ভাঁড়ামি
আর	আর
সাদা	সাদা
পর্দার	পর্দার
বুকে	বুকে
মাঝে	মাঝে
মাঝে	মাঝে
হঠাত্	হঠাত্
কালোর	কালোর
ঝিলিক	ঝিলিক
দিয়ে	দিয়ে
ছবি	ছবি
ছিঁড়ে	ছিঁড়ে
যাওয়া	যাওয়া
এবং	এবং
তার	তার
পরে	পরে
দপ	দপ
করে	করে
আলো	আলো
জলে	জলে
ওঠা	ওঠা
সত্ত্বেও	সত্ত্বেও
সেই	সেই
অজস্র	অজস্র
কম্পিত	কম্পিত
মিনিটে	মিনিটে
একশোবার	একশোবার
হাত	হাত
পা	পা
নাড়া	নাড়া
ছোটাছুটি	ছোটাছুটি
লাফ	লাফ
দিয়ে	দিয়ে
পড়া	পড়া
এবং	এবং
ইল্যাস্টিক	ইল্যাস্টিক
মুখভঙ্গীর	মুখভঙ্গীর
চাঞ্চল্যকর	চাঞ্চল্যকর
আনন্দস্মৃতি	আনন্দস্মৃতি
অবিস্মরণীয়	অবিস্মরণীয়

কঠোপনিষদের	কঠোপনিষদের
দু	দু
চারটি	চারটি
কথা	কথা
এখানে	এখানে
দেওয়া	দেওয়া
গেল	গেল

ছবিটি	ছবিটি
শেষ	শেষ
পর্যন্ত	পর্যন্ত
গোটা	গোটা
ভারতবর্ষে	ভারতবর্ষে
দেখান	দেখান
হবে	হবে
কিনা	কিনা
আর	আর
মহত্	মহত্
সৃষ্টি	সৃষ্টি
হিসেবে	হিসেবে
এটি	এটি
বন্দিত	বন্দিত
হবে	হবে
কিনা	কিনা
আমি	আমি
বলতে	বলতে
পারি	পারি
না	না

মণিমুক্তা	মণিমুক্তা
দামী	দামী
পাথর	পাথর
উচ্চ	উচ্চ
মূল্যের	মূল্যের
অলংকার	অলংকার
দামী	দামী
কারুকার্যখচিত	কারুকার্যখচিত
আসবাবপত্র	আসবাবপত্র
ইত্যাদি	ইত্যাদি
অতিবিলাস	অতিবিলাস
দ্রব্যগুলি	দ্রব্যগুলি
এই	এই
পর্যায়ে	পর্যায়ে
পড়ে	পড়ে


মজবুত	মজবুত
শক্তপোক্ত	শক্তপোক্ত
ও	ও
বিজলী	বিজলী
সাশ্রয়কারী	সাশ্রয়কারী
কম্প্রেসর	কম্প্রেসর
কূলগার্ড	কূলগার্ড
পলিইউরেথেন	পলিইউরেথেন
ইনস্যুলেশন	ইনস্যুলেশন
আন্তর্জাতিক	আন্তর্জাতিক
মানের	মানের
যার	যার
জন্য	জন্য
ঠাণ্ডা	ঠাণ্ডা
হয়	হয়
আরো	আরো
তাড়াতাড়ি	তাড়াতাড়ি
ও	ও
বিজলী	বিজলী
খরচ	খরচ
হয়	হয়
কম	কম

তাই	তাই
কোম্পানী	কোম্পানী
রাইটার্সদের	রাইটার্সদের
পালকি	পালকি
চড়া	চড়া
নিষেধ	নিষেধ
করে	করে
দিয়েছিল	দিয়েছিল

অকৃত্রিম	অকৃত্রিম
ভালবাসা	ভালবাসা

তুন্দ্রা	তুন্দ্রা
থেকে	থেকে
তৃণভূমি	তৃণভূমি
মালভূমি	মালভূমি
থেকে	থেকে
সমভূমি	সমভূমি
মরুদেশ	মরুদেশ
থেকে	থেকে
চিরহরিত্	চিরহরিত্
অঞ্চল	অঞ্চল
কোথায়	কোথায়
সে	সে
নেই	নেই

যেসব	যেসব
দেশে	দেশে
সন্দেহ	সন্দেহ
ব্যাপক	ব্যাপক
হলো	হলো
সেখানে	সেখানে
ধাতুর	ধাতুর
টুকরোর	টুকরোর
সর্বজনগ্রাহ্যতা	সর্বজনগ্রাহ্যতা
কমে	কমে
যেতে	যেতে
লাগলো	লাগলো
এতে	এতে
ব্যবসা	ব্যবসা
বাণিজ্যেরই	বাণিজ্যেরই
ক্ষতি	ক্ষতি

গতকাল	গতকাল
এক	এক
শোভাযাত্রাকে	শোভাযাত্রাকে
কেন্দ্র	কেন্দ্র
করে	করে
সংঘর্ষে	সংঘর্ষে
আহত	আহত
একজনের	একজনের
মৃত্যু	মৃত্যু
নিয়ে	নিয়ে
আজ	আজ
গোলমাল	গোলমাল
শুরু	শুরু
হয়	হয়

নদী	নদী
এখানে	এখানে
বহু	বহু
সময়েই	সময়েই
ল্যাণ্ডস্কেপ	ল্যাণ্ডস্কেপ
হয়ে	হয়ে
দেখা	দেখা
দেয়	দেয়

তিনদিন	তিনদিন
তিন	তিন
রকমের	রকমের
মেক	মেক
আপ	আপ
ম্যাচিং	ম্যাচিং
করতে	করতে
হবে	হবে

ভারতীয়	ভারতীয়
সমভূমি	সমভূমি
অবস্থান	অবস্থান
আরাবল্লী	আরাবল্লী
পর্বতের	পর্বতের
পশ্চিমে	পশ্চিমে
রাজস্থানে	রাজস্থানে
ভারতের	ভারতের
মরুভূমি	মরুভূমি
অবস্থিত	অবস্থিত

এই	এই
আলোচনার	আলোচনার
বছর	বছর
খানেকের	খানেকের
মধ্যে	মধ্যে
অনসূয়া	অনসূয়া
আর	আর
রণজয়ের	রণজয়ের
সত্যিই	সত্যিই
ছাড়াছাড়ি	ছাড়াছাড়ি
হয়ে	হয়ে
গেল	গেল

ন্যাবার্ড	ন্যাবার্ড
এর	এর
কলকাতা	কলকাতা
অফিস	অফিস
মির্জা	মির্জা
গালিব	গালিব
স্ট্রীটের	স্ট্রীটের
ডানলপ	ডানলপ
হাউসের	হাউসের
পেছনে	পেছনে
রয়েছে	রয়েছে
রয়েড	রয়েড
স্ট্রীটে	স্ট্রীটে

সূর্যরশ্মি	সূর্যরশ্মি
লম্বভাবে	লম্বভাবে
পড়ার	পড়ার
ফলে	ফলে
প্রচণ্ড	প্রচণ্ড
উত্তাপ	উত্তাপ
পাওয়া	পাওয়া
যায়	যায়
বলে	বলে
এখানে	এখানে
সারা	সারা
বছর	বছর
ধরে	ধরে
গ্রীষ্মকাল	গ্রীষ্মকাল
থাকে	থাকে

ভদ্রমহিলা	ভদ্রমহিলা
হাতের	হাতের
ব্যাণ্ডেজটার	ব্যাণ্ডেজটার
ওপর	ওপর
হাত	হাত
বুলিয়ে	বুলিয়ে
অন্যমনস্কভাবে	অন্যমনস্কভাবে
বললেন	বললেন
না	না
ঠিক	ঠিক
ডেলি	ডেলি
কমসে	কমসে
কম	কম
পঞ্চাশ	পঞ্চাশ

গত	গত
আড়াই	আড়াই
মাস	মাস
এইভাবে	এইভাবে
কেটে	কেটে
যাবার	যাবার
পর	পর
আজ	আজ
পুলিশের	পুলিশের
বড়	বড়
বাহিনী	বাহিনী
দুটি	দুটি
বিভিন্ন	বিভিন্ন
রাস্তা	রাস্তা
দিয়ে	দিয়ে
নন্দীগ্রাম	নন্দীগ্রাম
প্রবেশ	প্রবেশ
করার	করার
চেষ্টা	চেষ্টা
করে	করে
এবং	এবং
প্রচন্ড	প্রচন্ড
প্রতিরোধের	প্রতিরোধের
মুখে	মুখে
পরে	পরে

প্রতিদিনই	প্রতিদিনই
ফিরতে	ফিরতে
রাত	রাত
হয়	হয়

বাড়ি	বাড়ি
ফিরে	ফিরে
ঢাকা	ঢাকা
দেওয়া	দেওয়া
ভাত	ভাত
তরকারি	তরকারি
খেয়ে	খেয়ে
সিগারেট	সিগারেট
টানতে	টানতে
টানতে	টানতে
কিছুক্ষণ	কিছুক্ষণ
টিভির	টিভির
চ্যানেল	চ্যানেল
টেপাটেপি	টেপাটেপি
করে	করে
বিরক্ত	বিরক্ত
হয়ে	হয়ে
শেষে	শেষে
একটি	একটি
বই	বই
বগলদাবা	বগলদাবা
করে	করে
বিছানায়	বিছানায়

এরপর	এরপর
যতোক্ষণ	যতোক্ষণ
না	না
ঘুমে	ঘুমে
দু	দু
চোখ	চোখ
জড়িয়ে	জড়িয়ে
আসে	আসে
ততোক্ষণ	ততোক্ষণ
বই	বই
পড়া	পড়া

মোটামুটি	মোটামুটি
এই	এই
হচ্ছে	হচ্ছে
আমার	আমার
নিত্যদিনের	নিত্যদিনের
না	না
না	না
দিনের	দিনের
নয়	নয়
রাতের	রাতের
রুটিন	রুটিন

কদাচিদ	কদাচিদ
এর	এর
ব্যতিক্রম	ব্যতিক্রম
হয়	হয়

শুরুতে	শুরুতে
কয়েকদিন	কয়েকদিন
ঘ্যান	ঘ্যান
ঘ্যান	ঘ্যান
করে	করে
শেষে	শেষে
মাও	মাও
আমার	আমার
এই	এই
বাউন্ডুলেপনা	বাউন্ডুলেপনা
মেনে	মেনে
নিয়েছেন	নিয়েছেন

সেদিনও	সেদিনও
যথারীতি	যথারীতি
বাড়ি	বাড়ি
ফিরে	ফিরে
সিগারেট	সিগারেট
সহযোগে	সহযোগে
টিভি	টিভি
পর্ব	পর্ব
চলছে	চলছে

ঘড়ির	ঘড়ির
কাঁটায়	কাঁটায়
তখন	তখন
রাত	রাত
প্রায়	প্রায়
১টা	১টা

এমন	এমন
সময়	সময়
দরজায়	দরজায়
শব্দ	শব্দ

ঠক	ঠক
ঠক	ঠক
ঠক	ঠক

রাত	রাত
করে	করে
ফিরি	ফিরি
বলে	বলে
বাসার	বাসার
নীচ	নীচ
তলায়	তলায়
বাইরের	বাইরের
দিকের	দিকের
সুবিধাজনক	সুবিধাজনক
ঘরটি	ঘরটি
আমি	আমি
বেছে	বেছে
নিয়েছি	নিয়েছি

ফলে	ফলে
বাইরের	বাইরের
কেউ	কেউ
এসে	এসে
সহজেই	সহজেই
যখন	যখন
তখন	তখন
আমার	আমার
দরজায়	দরজায়
কড়া	কড়া
নাড়তে	নাড়তে
পারেন	পারেন

আগেরদিন	আগেরদিন
রাতেই	রাতেই
বুঝে	বুঝে
গিয়েছিলাম	গিয়েছিলাম
যে	যে
আমাদের	আমাদের
বারান্দায়	বারান্দায়
দাঁড়ালেই	দাঁড়ালেই
সামনে	সামনে
যে	যে
বিশাল	বিশাল
অন্ধকার	অন্ধকার
দেখা	দেখা
যায়	যায়
সেটা	সেটা
আর	আর
কিছু	কিছু
না	না
সমুদ্র	সমুদ্র

পরদিন	পরদিন
সকালে	সকালে
উঠে	উঠে
তাই	তাই
আর	আর
তর	তর
সইছিলনা	সইছিলনা
কখন	কখন
বারান্দায়	বারান্দায়
গিয়ে	গিয়ে
দাঁড়াব	দাঁড়াব

ঘুম	ঘুম
ভাঙতেই	ভাঙতেই
পড়িমড়ি	পড়িমড়ি
করে	করে
দৌড়	দৌড়
হাতমুখ	হাতমুখ
না	না
ধুয়েই	ধুয়েই

বারান্দায়	বারান্দায়
গিয়ে	গিয়ে
দাঁড়াতেই	দাঁড়াতেই
সামনে	সামনে
যে	যে
দৃশ্য	দৃশ্য
দেখলাম	দেখলাম
সেটা	সেটা
বর্ণনা	বর্ণনা
করার	করার
ক্ষমতা	ক্ষমতা
আমার	আমার
নেই	নেই

শুধু	শুধু
মনে	মনে
হলো	হলো
কোন	কোন
পোস্টারের	পোস্টারের
সামনে	সামনে
দাঁড়িয়ে	দাঁড়িয়ে
আছি	আছি

জাপানের	জাপানের
সমুদ্রসৈকত	সমুদ্রসৈকত
বা	বা
বাংলাদেশের	বাংলাদেশের
কক্সবাজার	কক্সবাজার
পতেঙ্গা	পতেঙ্গা
যেসব	যেসব
জায়গায়	জায়গায়
আমি	আমি
গিয়েছি	গিয়েছি
সবখানেই	সবখানেই
সমুদ্রের	সমুদ্রের
রং	রং
খানিকটা	খানিকটা
ম্যাড়ম্যাড়ে	ম্যাড়ম্যাড়ে
ছাই	ছাই
রঙের	রঙের
বালুর	বালুর
প্রভাবে	প্রভাবে

এখানে	এখানে
সম্পূর্ণ	সম্পূর্ণ
অন্যরকম	অন্যরকম
হালকা	হালকা
সবুজ	সবুজ
নাকি	নাকি
ফিরোজা	ফিরোজা
কালার	কালার
নাকি	নাকি
যেটাকে	যেটাকে
বলে	বলে
ওশান	ওশান
ব্লু	ব্লু
সেরকম	সেরকম
কিছুই	কিছুই
হয়ত	হয়ত
বলে	বলে
সবে	সবে
তবে	তবে
রংবোধহীন	রংবোধহীন
আমার	আমার
চোখে	চোখে
এত	এত
জীবন্ত	জীবন্ত
নীলরং	নীলরং
কখনো	কখনো
পড়েনি	পড়েনি
এটুকু	এটুকু
বলতে	বলতে
পারি	পারি

এখন	এখন
পর্যন্ত	পর্যন্ত
সেসব	সেসব
রং	রং
শুধু	শুধু
বিজ্ঞাপণের	বিজ্ঞাপণের
পৃষ্ঠা	পৃষ্ঠা
বা	বা
বইগুলোতেই	বইগুলোতেই
দেখেছি	দেখেছি
মালয়েশিয়ার	মালয়েশিয়ার
লাংকাওয়ি	লাংকাওয়ি
বা	বা
থাইল্যাল্ডের	থাইল্যাল্ডের
পুখেট	পুখেট
এই	এই
বানানটা	বানানটা
বাংলায়	বাংলায়
কি	কি
হবে	হবে
শিমুল	শিমুল
ভাল	ভাল
বলতে	বলতে
পারবে	পারবে
হয়ত	হয়ত
বা	বা
ক্যারিবিয়ান	ক্যারিবিয়ান
দ্বীপগুলোর	দ্বীপগুলোর
ছবিতেই	ছবিতেই
দেখেছি	দেখেছি

আর	আর
আজ	আজ
সেটা	সেটা
আমার	আমার
ঠিক	ঠিক
চোখের	চোখের
সামনে	সামনে

এর	এর
আগ	আগ
পর্যন্ত	পর্যন্ত
আমার	আমার
কিঞ্চিৎ	কিঞ্চিৎ
সন্দেহ	সন্দেহ
ছিল	ছিল
যে	যে
অমন	অমন
সুন্দর	সুন্দর
রং	রং
ক্যামেরার	ক্যামেরার
কারসাজিতেই	কারসাজিতেই
করে	করে
বাস্তবে	বাস্তবে
নিশ্চয়ই	নিশ্চয়ই
অত	অত
ভালো	ভালো
হয়না	হয়না

অথচ	অথচ
সাইপানের	সাইপানের
পশ্চিম	পশ্চিম
উপকূল	উপকূল
ধরে	ধরে
চলে	চলে
যাওয়া	যাওয়া
এই	এই
ফিনিপিনস	ফিনিপিনস
বে	বে
দেখে	দেখে
চরম	চরম
ভুলটা	ভুলটা
ভাঙল	ভাঙল
বাস্তবে	বাস্তবে
দৃশ্যটা	দৃশ্যটা
আরো	আরো
সুন্দর	সুন্দর
আরো	আরো
ঝলমলে	ঝলমলে
এবং	এবং
এক	এক
ধরনের	ধরনের
অদ্ভুত	অদ্ভুত
বিশালতা	বিশালতা
নিয়ে	নিয়ে
বিরাজ	বিরাজ
করে	করে

দুচারটে	দুচারটে
ছবি	ছবি
তোলার	তোলার
অপচেষ্টা	অপচেষ্টা
করেছিলাম	করেছিলাম
পোস্টের	পোস্টের
শেষে	শেষে
দিচ্ছি	দিচ্ছি

এই	এই
এন্ট্রিটি	এন্ট্রিটি
লিখব	লিখব
এমন	এমন
সময়	সময়
নিউ	নিউ
এ	এ
যেতে	যেতে
হল	হল

হঠাৎ	হঠাৎ
পুরনো	পুরনো
বন্ধুদের	বন্ধুদের
মধ্যে	মধ্যে
গিয়ে	গিয়ে
উপস্থিত	উপস্থিত
হওয়ার	হওয়ার
সুবিধে	সুবিধে
হল	হল
যে	যে
বেশ	বেশ
গার্ড	গার্ড
অভ	অভ
অনার	অনার
পাওয়া	পাওয়া
যায়	যায়

সেল	সেল
ফোনে	ফোনে
ফোনে	ফোনে
চলে	চলে
যায়	যায়
খবর	খবর
রুমে	রুমে
রুমে	রুমে
গিয়ে	গিয়ে
দেখি	দেখি
কেউ	কেউ
খুলে	খুলে
বসেছে	বসেছে
দাবার	দাবার
বোর্ড	বোর্ড
একটি	একটি
ঝটিকা	ঝটিকা
ম্যাচের	ম্যাচের
জন্য	জন্য
কেউ	কেউ
বা	বা
তার	তার
গোপন	গোপন
বাকলাভার	বাকলাভার
কৌটোটি	কৌটোটি

রাতে	রাতে
থাই	থাই
খাবার	খাবার
খেয়ে	খেয়ে
এইবার	এইবার
অবশেষে	অবশেষে
কিছুক্ষণ	কিছুক্ষণ
কম্পিউটার	কম্পিউটার
সায়েন্স	সায়েন্স
নিয়ে	নিয়ে
কথা	কথা
বলে	বলে
যখন	যখন
শুতে	শুতে
গেলাম	গেলাম
খুলে	খুলে
বসলাম	বসলাম
হুমায়ুন	হুমায়ুন
আজাদের	আজাদের
বইটি	বইটি
আরেকবার	আরেকবার
পড়ার	পড়ার
জন্য	জন্য

প্রায়	প্রায়
সঙ্গে	সঙ্গে
সঙ্গেই	সঙ্গেই
ঘুমিয়ে	ঘুমিয়ে
পড়েছি	পড়েছি
পড়তে	পড়তে
পারিনি	পারিনি
উপরন্তু	উপরন্তু
কাল	কাল
ফিরে	ফিরে
আসার	আসার
সময়	সময়
ফেলে	ফেলে
এসেছি	এসেছি
বইখানা	বইখানা

কাজেই	কাজেই
এ	এ
লেখাটা	লেখাটা
লিখতে	লিখতে
হবে	হবে
স্মৄতি	স্মৄতি
থেকে	থেকে
এবং	এবং
যে	যে
উদ্ধৄতিগুলি	উদ্ধৄতিগুলি
দিতে	দিতে
চাচ্ছিলাম	চাচ্ছিলাম
তা	তা
দিতে	দিতে
পারব	পারব
না	না

নির্বাচিত	নির্বাচিত
প্রবন্ধের	প্রবন্ধের
সবচেয়ে	সবচেয়ে
গুরুত্ববহ	গুরুত্ববহ
লেখা	লেখা
হচ্ছে	হচ্ছে
মাইকেল	মাইকেল
মধুসূদন	মধুসূদন
দত্ত	দত্ত
প্রথম	প্রথম
বিশ্বভিখারি	বিশ্বভিখারি
ও	ও
ত্রাতা	ত্রাতা

প্রবন্ধটি	প্রবন্ধটি
মূলত	মূলত
রেনেসাঁস	রেনেসাঁস
ধারণার	ধারণার
পুনর্ঘোষণা	পুনর্ঘোষণা

হুমায়ুন	হুমায়ুন
আজাদের	আজাদের
মতে	মতে
মধুসূদনের	মধুসূদনের
চমকপ্রদ	চমকপ্রদ
সাফল্য	সাফল্য
হচ্ছে	হচ্ছে
ঐতিহ্যের	ঐতিহ্যের
বাঁধা	বাঁধা
পথ	পথ
থেকে	থেকে
সরে	সরে
এসে	এসে
তার	তার
সাহিত্যের	সাহিত্যের
ভিত্তির	ভিত্তির
জন্য	জন্য
বিশ্বসাহিত্যের	বিশ্বসাহিত্যের
দ্বারে	দ্বারে
দ্বারে	দ্বারে
ঘুরে	ঘুরে
রসদ	রসদ
সংগ্রহ	সংগ্রহ
করা	করা

মিল্টন	মিল্টন
ভার্জিল	ভার্জিল
শেক্সপীয়র	শেক্সপীয়র
থেকে	থেকে
অবিরত	অবিরত
শিখে	শিখে
নিয়ে	নিয়ে
,	,
পশ্চিমী	পশ্চিমী
সাহিত্য	সাহিত্য
ও	ও
সংবেদনশীলতা	সংবেদনশীলতা
জারিত	জারিত
করেই	করেই
তবে	তবে
আমাদের	আমাদের
প্রথম	প্রথম
দ্রোহী	দ্রোহী
কবি	কবি
করেছিলেন	করেছিলেন
বাংলা	বাংলা
কবিতার	কবিতার
মুক্তিসাধন	মুক্তিসাধন

আজাদের	আজাদের
বক্তব্য	বক্তব্য
আজও	আজও
আমাদের	আমাদের
পশ্চাদপদতা	পশ্চাদপদতা
বহুমূখী	বহুমূখী
কাজেই	কাজেই
আরো	আরো
অনেক	অনেক
মধুসূদনীয়	মধুসূদনীয়
বিশ্বভিক্ষায়	বিশ্বভিক্ষায়
বেরোতে	বেরোতে
হবে	হবে
বাঙালীকে	বাঙালীকে

এখানে	এখানে
তাঁর	তাঁর
