রপ্তানি	﻿রপ্তান
কথা	কথা
বিশ্বাস	বিশ্বাস
করেনি	কর
ও	ও
পুলিশকে	পুলিশক
প্রবল	প্রবল
জনরোষের	জনরো
মুখে	মুখ
পরতে	পরা
হয়	হয়

পুলিশের	পুলিশ
তরফ	তরফ
থেকে	থেকে
জানানো	জানানো
হয়েছে	হওয়া
যে	যে
প্রায়	প্রায়
৫০০০	৫০০
ক্ষিপ্ত	ক্ষিপ্
মানুষ	মানুষ
তাদের	তািনি
ইট	ই
লাঠি	লাঠি
পাথর	পাথর
এবং	এবং
পরে	পর
বোমা	বোমা
ও	ও
পাইপগান	পাইপগা
নিয়ে	নেওয়া
আক্রমন	আক্রমন
করে	করা

তাদের	তািনি
ছত্রভঙ্গ	ছত্রভঙ্
করতে	করা
প্রথমে	প্রথম
পুলিশ	পুলিশ
সতর্কবাণী	সতর্কবাণ
তারপর	তারপ
কাঁদানে	কাঁদান
গ্যাস	গ্যাস
রাবার	রাবা
পেলেট	পে
ও	ও
সর্বশেষে	সর্বশেষ
আত্মরক্ষার্তে	আত্মরক্ষার্ত
গুলি	গুলি
চালাতে	চালানো
বাধ্য	বাধ্য
হয়	হয়
এবং	এবং
তাতে	তা
নিহত	নিহ
ও	ও
আহত	আহত
হন	হওয়া
কিছু	কিছু
আক্রমণকারিরা	আক্রমণকার

পুলিশের	পুলি
মতে	মত
এক	এক
ভায়োলেন্ট	ভায়োলেন্
মবকে	মবক
কন্ট্রোলে	কন্ট্র
আনতে	আনত
ও	ও
নিজেদের	নিজ
বাঁচাতেই	বাঁচা
পুলিশের	পুলি
আজকের	আজ
গুলিচালনা	গুলিচালন

এও	এ
শোনা	শোনা
যাচ্ছে	যাওয়া
যে	যে
আজকের	আজ
ঘটনায়	ঘটনা
আর্মড	আর্মড
নকশালরাও	নকশাল
ছিল	থাকা
যারা	যারাা
পুলিশের	পুলি
ওপর	ওপর
গুলি	গুলি
চালায়	চালানো

আমি	আমি
বই	বই
মেলায়	মেলা
গেলাম	গেলনো
২১এ	২১
ফেব্রুয়ারি	ফেব্রুয়ারি

এবার	এবার
ভেবেই	ভো
রেখেছিলাম	রেখেছি
শুধু	শুধু
বাংলা	বাংল
বই	বই
কিনব	কিনব

সেদিন	সেদিন
ভাষা	ভাষা
দিবস	দিবস

ছোটো	ছোটো
বেলায়	বেলা
মায়ের	মা
মুখে	মুখ
শুনেছি	শুন
১৯৫২র	১৯৫২
২১এ	২১
ফেব্রুয়ারির	ফেব্রুয়া
কথা	কথা

সাথে	সাথ
সেই	সেই
গান	গান
আমার	আমি
ভাইয়ের	ভাই
রক্তে	রক্ত
রাঙান	রাঙা
এদিনও	এদিন
মেলা	মেলা
প্রাঙ্গনে	প্রাঙ্গন
মাঝেমাঝেই	মাঝেমা
বাজছিল	বাজ
সেই	সেই
গান	গান

এবারের	এবার
বই	বই
মেলায়	মেলা
কিছু	কিছু
জিনিষ	জিনি
বেশি	বেশি
করে	করা
নজরে	নজর
পড়ল	পড়ল

মেলার	মে
লে	ল
আউটের	আউ
দরুণ	দরু
পরিস্কার	পরিস্কা
বোঝা	বোঝা
গেল	গেল
যে	যে
বেশিরভাগ	বেশিরভা
মানুষই	মানুষ
এখন	এখন
বই	বই
মেলায়	মেলা
শুধু	শুধু
বেড়াতে	বেড়
আসেন	আসা
বই	বই
কিনতে	কি
নয়	না

অন্যান্য	অন্যান্য
বছর	বছর
ময়দানে	ময়দান
ঘাষে	ঘাষ
বসার	বসা
প্রচুর	প্রচুর
জায়গা	জায়গা
থাকে	থাকা
এবার	এবার
তার	তার
অভাব	অভাব
কিছুটা	কিছু
পূরন	পূর
করল	কর
স্টেডিয়ামের	স্টেডিয়া
সিড়িঁগুলি	সিড়িঁগুল

দেখলাম	দেখা
লাইন	লাইন
দিয়ে	দেওয়া
স্টেডিয়ামের	স্টেডিয়া
গায়ে	গা
যেসব	যেস
বইয়ের	বই
স্টল	স্ট
ছিল	থাকা
প্রায়	প্রায়
ফাঁকা	ফাঁক
বল্লেই	বল্
হয়	হয়

তার	তার
লাগোয়া	লাগোয়
পিচের	পি
রাস্তা	রাস্তা

তাতে	তা
উইন্ডো	উইন্ড
শপারদের	শপার
ঠেলাঠেলি	ঠেলাঠ
ভীর	ভীর

এদিকে	এদিক
বাংলাদেশের	বাংলাদে
রাজনীতির	রাজনীতি
আকাশেও	আকা
বেশ	বেশ
মেঘ	মেঘ
দেখা	দেখা
যাচ্ছে	যাওয়া

অবাক	অবাক
হয়ে	হয়ে
দেখলাম	দেখা
যে	যে
একদিকে	একদিক
ডঃ	ডঃ
ইউনুস	ইউনু
হাসিমুখে	হাসিমুখ
শান্তির	শান্তি
জন্য	জন্য
নোবেল	নোবে
পুরস্কার	পুরস্কার
নিলেন	নি
আর	আর
অন্য	অন্য
দিকে	দিক
রাস্তায়	রাস্তা
সেনা	সেনা
মোতায়েন	মোতা
করার	করা
আজ্ঞা	আজ্ঞা
দিলেন	দিওয়া
সে	তিনি
দেশের	দেশ
রাষ্ট্রপতি	রাষ্ট্রপত

নির্বাচনের	নির্বাচ
আগে	আগে
বাংলাদেশ	বাংলাদেশ
এখন	এখন
সরগরম	সরগর
দুই	দুই
প্রধান	প্রধান
দল	দল
নির্বাচন	নির্বাচন
উপদেষ্টা	উপদেষ্ট
ও	ও
রাষ্ট্রপতির	রাষ্ট্রপতি
নানা	নানা
কান্ডকারখানা	কান্ডকারখান
নিয়ে	নেওয়া

সব	সব
মিলিয়ে	মিল
দুই	দুই
বাংলা	বাংল
এখন	এখন
গরম	গরম
হয়ে	হয়ে
উঠেছে	হওে

রাজনীতির	রাজনীতি
গরম	গরম
বড়	বড়
গরম	গরম

তাই	তা
এই	এই
শীতে	শীত
মনে	মন
হয়	হয়
রঙিন	রঙিন
সোয়েটর	সোয়
মোজা	মোজা
গ্লাভস	গ্লাভ
মাংকি	মাংক
ক্যাপ	ক্যা
পরা	পরা
বাঙালিকে	বাঙাল
আর	আর
দেখা	দেখা
যাবে	যাওয়া
না	না

গত	গত
শুক্রবার	শুক্রবার
কাজের	কাজ
মাঝে	মাঝে
হঠাৎ	হঠাৎ
ল্যাপটপটা	ল্যাপটপট
একটা	এক
অদ্ভুত	অদ্ভুত
শব্দ	শব্দ
করে	করা
দুম	দুম
করে	করা
বন্ধ	বন্ধ
হয়ে	হয়ে
গেল	গেল
আর	আর
চালু	চালু
হল	হওয়া
না	না

দিজ্ঞজেরা	দিজ্ঞজ
জানাল	জানা
যে	যে
হার্ড	হার্ড
ডিস্কটা	ডিস্কট
গেছে	হও

এবং	এবং
অবশ্যই	অবশ্য
আমি	আমি
ব্যাকআপ	ব্যাকআ
নেবার	নেবা
কাজটি	কাজ
করার	করা
আগেই	আগ
এটা	এটা
হতে	হতে
হল	হওয়া

প্রচুর	প্রচুর
লেখা	লেখা
লিঙ্ক	লিঙ্
ইত্যাদি	ইত্যাদি
হারিয়ে	হার
গেল	গেল
এক	এক
নিমেশে	নিম
একটু	এক
গাফিলতির	গাফিল
জন্য	জন্য

নতুন	নতুন
হার্ড	হার্
ডিস্ক	ডিস্ক
লাগিয়ে	লাা
আবার	আবার
নতুন	নতুন
করে	করা
সব	সব
শুরু	শুরু
করার	করা
পালা	পালা

কিছু	কিছু
সময়	সময়
লাগবে	লাগা
ধাতস্ত	ধাতস্ত
হতে	হতে

হলেই	হ
আড্ডাতে	আড্ড
ফিরে	ফিরে
আসব	আসব

এখানকার	এখানকা
একটি	এক
জীর্ণ	জীর্ণ
পাবলিক	পাবলি
লাইব্রেরীকে	লাইব্রের
সম্পুর্ণ	সম্পুর্
নতুন	নতুন
অবয়বে	অবয়ব
সাজানোর	সাজানো
কাজ	কাজ
শুরু	শুরু
হয়েছিল	হয়ো
গত	গত
বছর	বছর

স্থানীয়	স্থান
কিছু	কিছু
মহত	মহ
মানুষ	মানুষ
আর	আর
উপজেলা	উপজেল
নির্বাহী	নির্বাহ
কর্মকর্তার	কর্মকর্তা
সরাসরি	সরাসর
তত্ত্বাবধানে	তত্ত্বাবধ
পঙ্গু	পঙ্গু
এ	এ
লাইব্রেরীটি	লাইব্রের
আস্তে	আস্ত
আস্তে	আস্ত
পরিনত	পরিন
হচ্ছে	হওয়া
জ্ঞান	জ্ঞান
বিজ্ঞান	বিজ্ঞা
চর্চার	চর্চা
কেন্দ্রবিন্দুতে	কেন্দ্রবিন্দ

বছর	বছর
দুয়েক	দু
আগে	আগে
যে	যে
লাইব্রেরী	লাইব্র
ভবনে	ভবন
সন্ধায়	সন্ধা
জুয়ার	জুয়া
আড্ডা	আড্ডা
বসত	বস
এখন	এখন
সেখানে	সেখান
প্রতি	প্রতি
সন্ধায়	সন্ধা
বসে	বসা
জ্ঞান	জ্ঞান
অন্বেষনের	অন্বেষ
আড্ডা	আড্ডা

প্রতি	প্রতি
সন্ধায়	সন্ধা
এখন	এখন
সেখানে	সেখান
লোকজন	লোক
আড্ডা	আড্ডা
দিতে	দেওয়া
দিতে	দেওয়া
দেখছে	দে
দেশী	দেশ
বিদেশী	বিদেশ
বিখ্যাত	বিখ্যাত
সব	সব
সিনেমা	সিনেম
ডকুমেন্টরী	ডকুমেন্টর
পড়ছে	প
বই	বই
ইন্টারনেট	ইন্টার
থেকে	থেকে
ধারনা	ধারন
নিচ্ছে	নিচা
কৃষি	কৃষ
ব্যবসা	ব্যবসা
তথ্যপ্রযুক্তির	তথ্যপ্রযুক্

উল্লেখ	উল্লেখ
করার	করা
মত	মত
অগ্রগতি	অগ্রগত
সাধিত	সাধি
হয়েছে	হওয়া
তথ্য	তথ্য
প্রযুক্তি	প্রযুক্ত
ক্ষেত্রে	ক্ষেত্র

লাইব্রেরীতে	লাইব্রের
সবার	সবার
জন্য	জন্য
উম্মুক্ত	উম্মুক্
একটি	এক
মাত্র	মাত্র
কম্পিউটারে	কম্পিউট
একদল	একদ
ছাত্র	ছাত্র
ছাত্রী	ছাত্র
বিনে	বিন
পয়সায়	পয়সা
ব্রাউজ	ব্রাউ
করার	করা
সুযোগ	সুযোগ
পাচ্ছে	পাওয়া

আর	আর
এ	এ
সুযোগটিকে	সুযোগট
এসব	এস
মেধাবী	মেধা
ছেলেমেয়েরা	ছেলেমেয়
কাজেও	কাজে
লাগাচ্ছে	লাগাচ
শতভাগ	শতভাগ

প্রতিদিন	প্রতিদিন
পড়া	পড়া
আর	আর
ক্লাশ	ক্লা
শেষে	শেষ
প্রয়োজনীয়	প্রয়োজনী
সব	সব
তথ্যাদী	তথ্যাদ
ডাউনলোড	ডাউনলো
করছে	করা

নিজেরা	নিজে
নিজেদের	নিজ
সমস্যা	সমস্যা
নিয়ে	নেওয়া
বিভিন্ন	বিভিন্ন
কমিউনিটির	কমিউনি
হেল্প	হেল্প
নিচ্ছে	নিচা

তথ্য	তথ্য
প্রযুক্তির	প্রযুক্তি
সহায়তা	সহায়ত
নিয়ে	নেওয়া
নিজেদেরকে	নিজেদে
আরও	আর
যোগ্য	যোগ্য
করে	করা
গড়ে	গড়
তুলছে	তু

দিনে	দিন
দিনে	দিন
ছোট্ট	ছোট্ট
এই	এই
অবহেলিত	অবহেলা
উপজেলাটিতে	উপজেলাট
গড়ে	গড়
উঠছে	তিনি
একটি	এক
সাইবার	সাইবার
কমিউনিটি	কমিউন

অবশ্যই	অবশ্য
এটি	এ
একটি	এক
বিরাট	বিরা
আশার	আশা
কথা	কথা

আর	আর
হতাশার	হতাশা
কথা	কথা
হল	হওয়া
এখানকার	এখানকা
অনেকেই	অনেক
এই	এই
কার্যক্রমটিকে	কার্যক্রমট
নিছক	নিছ
পাগলামী	পাগলাম
বলে	বলে
গালমন্দ	গালমন্দ
করতেও	করা
দ্বিধা	দ্বিধা
করছে	করা
না	না

আমার	আমি
বিশ্বাস	বিশ্বাস
এভাবেই	এভা
কিছু	কিছু
দরকারী	দরকার
মানুষ	মানুষ
এদেশে	এদ
তৈরী	তৈর
হবে	হওয়া
যারা	যারা
আমাদের	আমি
আগামী	আগামী
পৃথিবীটাকে	পৃথিবীট
পুরোটা	পুরোট
পাল্টিয়ে	পাল্ট
দেবে	দেওয়া

আমার	আমি
এ	এ
লেখাটি	লেখ
পড়ে	পড়
অনেকেই	অনেক
আমাকে	আমি
সেকেলে	সেক
ভাববেন	ভাববে
আবার	আবার
অনেকে	অনেক
ভাবতে	ভাবা
পারেন	পারা
আমি	আমি
উল্টো	উল্টো
স্রোতের	স্রো
মানুষ	মানুষ

তবে	তবে
আমার	আমি
ভাবনাটি	ভাবনাট
একেবারে	একেবারে
অমূলক	অমূল
নয়	না
বলেই	বলা
আমার	আমি
বিশ্বাস	বিশ্বাস

আর	আর
আমার	আমি
ভাবনাটি	ভাবনাট
হচ্ছে	হওয়া
প্রযুক্তি	প্রযুক্ত
কী	কী
আমাদেরকে	আমাদে
পিছনের	পিছ
দিকে	দিক
টানছে	টা
ক্রমশ	ক্রমশ

কিছু	কিছু
প্রতিষ্ঠিত	প্রতিষ্ঠি
সত্য	সত্য
আমার	আমি
এই	এই
ভাবনাকে	ভাবনাক
অবশ্যই	অবশ্য
যৌক্তিক	যৌক্
ভিত্তির	ভিত্তি
ওপর	ওপর
দাড়	দাড়
করিয়ে	করা
দেয়	দেওয়া

যেমন	যেমন
ধরুন	ধরা
আমাদের	আমি
মহান	মহা
স্বাধীনতা	স্বাধীনত
যুদ্ধ	যুদ্ধ
সম্পর্কে	সম্পর্ক
একটি	এক
ভাবনা	ভাবন
অবশ্যই	অবশ্য
যৌক্তিক	যৌক্
যে	যে
আমরা	আমি
নয়	না
মাসে	মাস
অপেক্ষাকৃত	অপেক্ষাকৃ
কম	কম
নির্যাতিত	নির্যাতি
হয়ে	হয়ে
স্বাধীনতা	স্বাধীনত
পেয়েছি	পা
জন্যেই	জন্যে
আমাদের	আমি
অনেকেই	অনেক
এটিকে	এট
মহান	মহা
স্বাধীনতার	স্বাধীন
বছর	বছর
না	না
বলে	বলে
বলি	বলা
গন্ডগোলের	গন্ডগো
বছর	বছর
হায়	হায়
স্বাধীনতা	স্বাধীনত

আবার	আবার
প্রেমে	প্রেম
পড়ার	পড়া
ক্ষেত্রেও	ক্ষেত্র
এমনি	এমন
একটি	এক
প্রতিষ্ঠিত	প্রতিষ্ঠি
সত্য	সত্য
হলো	হল
সহজে	সহজ
পাওয়া	পাওয়া
কিম্বা	কিম্বা
প্রতিবন্ধকতাহীন	প্রতিবন্ধকতাহী
প্রেম	প্রেম
খুব	খুব
বেশীদুর	বেশীদু
এগোয়	এগোয়
না	না

এটি	এ
বড়জোর	বড়জো
বাড়ির	বাড়ি
উঠোন	উঠোন
পার	পারা
হতে	হতে
পারে	পারা
বড়	বড়
রাস্তায়	রাস্তা
ওঠে	ওঠা
না	না

লাইলী	লাইল
মজনু	মজন
শিরী	শির
ফরহাদ	ফরহা
সম্ভবত	সম্ভবতই
এজন্যই	এজন্য
আজ	আজ
অব্দি	অব্দ
বেচে	ব
আছেন	আছে
আর	আর
মহল্লার	মহল্লা
কনক	কন
কিম্বা	কিম্বা
জুই	জু
মরে	মরা
ভুত	ভু
হয়ে	হয়ে
গেছেন	গে
কবেই	কবে

ওদের	ও
ভালোবাসা	ভালোবাসা
অনেক	অনেক
মূল্যে	মূল্য
কেনা	কেনা
আর	আর
এদেরটা	এদে
বিনামূল্যে	বিনামূল
কেনা	কেনা

পার্থক্যটা	পার্থক্যট
সম্ভবত	সম্ভই
এখানেই	এখান

আমার	আমি
মেধাবী	মেধা
এক	এক
বন্ধু	বন্ধু
বিশ্ববিদ্যালয়ে	বিশ্ববিদ্যালয়
পড়বার	পড়বা
সময়	সময়
ছুটিতে	ছুটি
বাড়ী	বাড়
এলে	নেওে
এলাকার	এলাকা
ছাত্রদের	ছাত্র
বিনামূল্যে	বিনামূল্য
পড়াতেন	পড়া

কদিন	কদি
পর	পর
দেখা	দেখা
গেল	গেল
কোন	কোন
ছাত্রই	ছাত্র
তার	তার
কাছে	কাছ
আর	আর
পড়তে	পড়ত
আসছে	আসা
না	না

অথচ	অথচ
ঐ	ঐ
বন্ধুটিই	বন্ধু
যখন	যখন
কোচিং	কোচি
সেন্টার	সেন্টা
খুলে	খুলে
বসলো	বসলো
এবং	এবং
চড়া	চড়
মাসিক	মাসি
ফি	ফি
তে	ত
ছাত্র	ছাত্র
পড়ানো	পড়ানো
শুরু	শুরু
করলো	করল

এক	এক
মাসের	মাসে
মাথায়ই	মাথায়
রমরমা	রমরম
ব্যবসা	ব্যবসা
জমে	জমা
উঠলো	উঠলো

এখন	এখন
ওর	ও
কোচিংএ	কোচিং
ভর্তি	ভর্ত
হবার	হওয়া
জন্য	জন্য
রীতিমত	রীতিমত
যুদ্ধ	যুদ্ধ
করতে	করা
হয়	হয়

কারন	কার
কী	কী

কারণ	কারণ
একটাই	এক
মূল্য	মূল্য
আর	আর
বিনামূল্য	বিনামূল্

জ্ঞান	জ্ঞান
চর্চার	চর্চা
বিষয়টিও	বিষয়
কী	কী
আমাদের	আমি
দেশে	দেশ
এমন	এমন
হয়ে	হয়ে
গেছে	হও

মুল্য	মুল্
আর	আর
বিনামূল্যের	বিনামূল্
ঘুর্ণাবর্তে	ঘুর্ণাবর্ত
জ্ঞানচর্চা	জ্ঞানচর্চ
কী	কী
স্থিমিত	স্থিমি
হয়ে	হয়ে
পড়ছে	প

আমার	আমি
তো	তো
বিশ্বাস	বিশ্বাস
তাই	তা

রবীন্দ্রনাথ	রবীন্দ্রনাথ
নজরুল	নজরু
জগদীশ	জগদীশ
চন্দ্র	চন্দ্র
বসু	বসু
এদের	এ
হাতের	হাত
মুঠোয়	মুঠো
তো	তো
অবারিত	অবারি
তথ্য	তথ্য
সম্ভার	সম্ভা
ছিল	থাকা
না	না

এরা	এর
তো	তো
ইচ্ছে	ইচ্ছা
করলেই	কর
টলস্টয়	টলস্ট
বা	বা
সেক্সপিয়র	সেক্সপিয়
পড়তে	পড়ত
পারতেন	পার
না	না

এরা	এর
তো	তো
ইচ্ছে	ইচ্ছা
করলেই	করল
ইলেকট্রনের	ইলেকট্র
গঠন	গঠন
প্রকৃতি	প্রকৃত
জানতে	জানা
পেতেন	পে
না	না

এগুলো	এগুল
জানার	জানা
জন্যে	জন্য
তারা	তারা
যে	যে
কতটা	কতট
কষ্ট	কষ্ট
করেছেন	করা
তা	তা
সম্ভবত	সম্ভব
যারা	যাই
কিচ্ছা	কিচ
বলতে	বলা
পারে	পারা
তারা	তারা
বলতে	বলা
পারবেন	পারা

আর	আর
আজ	আজ
এক	এক
ক্লিকে	ক্ল
দুনিয়া	দুনিয়
হাজির	হাজির
তবু	তবু
একটাও	একটা
রবীন্দ্র	রবীন্দ্
নজরুল	নজরু
জে	জ
সি	সি
বসু	বসু
তৈরী	তৈর
হয়না	হয়ন

এই	এই
ছবিটি	ছব
একটি	এক
পাবলিক	পাবলি
লাইব্রেরীর	লাইব্রে

লালমনিরহাট	লালমনিরহা
জেলার	জেলা
এক	এক
প্রত্যন্ত	প্রত্যন্
উপজেলায়	উপজে
বৃটিশ	বৃটি
কাউন্সিলের	কাউন্সি
আদলে	আদল
গড়া	গড়
এই	এই
শিশু	শিশু
শিক্ষার্থী	শিক্ষার্থ
কেন্দ্রে	কেন্দ্র
শিশু	শিশু
কিশোরদের	কিশোর
বিকাশের	বিকা
জন্য	জন্য
সৃজনশীলতা	সৃজনশীলত
মনন	মন
নৈতিকতা	নৈতিকত
শৃংখলাবোধ	শৃংখলাবো
সহ	সহ
মানবিকতা	মানবিকত
বিকাশের	বিকা
যাবতীয়	যাবতীয়
বিষয়	বিষয়
শিক্ষাদান	শিক্ষাদা
করা	করা
হচ্ছে	হওয়া
এখানে	এখান

এখানকার	এখানকা
বিজ্ঞানমনষ্ক	বিজ্ঞানমনষ্
উপজেলা	উপজেল
নির্বাহী	নির্বাহ
অফিসারের	অফিসার
সরাসরি	সরাসর
তত্বাবধানে	তত্বাবধান
পরিচালিত	পরিচা
এই	এই
দীর্ঘমেয়াদী	দীর্ঘমেয়াদ
প্রশিক্ষণ	প্রশিক্ষণ
কোর্সে	কোর্স
গুরুত্ব	গুরুত্ব
সহকারে	সহক
শেখানো	শেখান
হচ্ছে	হওয়া
ইংরেজী	ইংরেজ
বলা	বলা
লেখা	লেখা
ও	ও
শোনা	শোনা

এজন্য	এজন্
বিশ্ববিখ্যাত	বিশ্ববিখ্যা
ইংরেজী	ইংরেজ
সিনেমা	সিন
ও	ও
ডকুমেন্টরী	ডকুমেন্টর
মাল্টিমিডিয়া	মাল্টিমিড
প্রজেক্টর	প্রজেক্ট
দিয়ে	দেওয়া
দেখানো	দেখান
হচ্ছে	হওয়া
সপ্তাহে	সপ্তাহ
একদিন	একদিন
করে	করা

ফলাফল	ফলাফ
চোখে	চোখ
পড়ার	পড়া
মত	মত

আমরা	আমি
বড়রা	বড়র
যত	যত
দ্রুত	দ্রু
ইংরেজী	ইংরেজ
বলতে	বলা
পারি	পারা
ওরা	ও
তারচে	তারচ
গড়গড়	গড়গড়
করে	করা
ইংরেজী	ইংরেজ
বলতে	বলা
পারে	পারা
আর	আর
আমাদের	আমি
বড়দের	বড়
চেয়ে	চেয়ে
ওদের	ও
নৈতিকতা	নৈতিকত
সৃজনশীলতার	সৃজনশীলতা
মানটাও	মানটা
বেশ	বেশ
উচু	উচু

সংস্কার	সংস্কার
বোধহয়	বোধহ
এভাবেই	এভা
সম্ভব	সম্ভব

গ্রাজুয়েশনের	গ্রাজুয়েশ
সময়	সময়
কাটিয়েছি	কাটিয়
রাজশাহীতে	রাজশাহ

বাংলাদেশের	বাংলাদে
শিক্ষানগরী	শিক্ষানগর

পড়াশোনার	পড়াশোনা
জন্য	জন্য
এমন	এমন
চমৎকার	চমৎকা
জায়গা	জায়গা
আর	আর
হয়	হয়
না	না

অবশ্য	অবশ্য
সিলেট	সি
কিংবা	কিংবা
চট্টগ্রামের	চট্টগ্রা
ছাত্ররা	ছাত্রর
কে	কে
কি	কি
বলবেন	বলা
জানি	জানা
না	না

আমার	আমি
কাছে	কাছ
পদ্মাপারের	পদ্মাপা
রাজশাহী	রাজশাহ
খুবই	খুব
ভালো	ভালো
লাগত	লাগনো

এখনও	এখন
লাগে	লাগা

সময়টা	সময়
তখন	তখন
১৯৯৯	১৯৯
আর	আর
আমরা	আমি
প্রথম	প্রথম
বর্ষের	বর্
ছাত্র	ছাত্র

শুধুমাত্র	শুধুমাত্
সকালে	সকাল
ক্লাশ	ক্লাশ

আর	আর
হাসপাতালে	হাসপাতালে
কোন	কোন
ক্লাশ	ক্লা
নেই	না
থার্ড	থার্
ইয়ারে	ইয়
ওঠার	ওঠা
আগে	আগে

আবার	আবার
সাপ্তাহিক	সাপ্তাহি
ছুটি	ছুটি
শুক্র	শুক্র
আর	আর
শনি	শনি

তার	তার
মানে	মানে
বৃহষ্পতি	বৃহষ্পত
বার	বার
মানেই	মানে
ছুটি	ছুটি
শুরু	শুরু

সিপাইপাড়া	সিপাইপাড়
থেকে	থেকে
পদ্মার	পদ্মা
আইবাঁধ	আইবাঁ
আমার	আমি
ক্যাম্পাস	ক্যাম্পা
থেকে	থেকে
৫	৫
মিনিটের	মিনি
হাঁটা	হাঁট
পথ	পথ

দলীয়	দলী
বিভাক্তির	বিভাক্তি
ছাত্ররাজনীতির	ছাত্ররাজনী
কপালে	কপাল
তখনও	তখন
পড়িনি	পড়িন

তাই	তা
ইয়ারমেন্ট	ইয়ারমেন্
বন্ধু	বন্ধু
বান্ধবীরা	বান্ধবীর
সবাই	সবাই
মিলে	মিল
পদ্মায	পদ্মা
যাই	যা

বেশ	বেশ
ভালো	ভালো
লাগে	লাগা

কখনো	কখন
কখনো	কখন
পূর্ণিমা	পূর্ণিম
রাতে	রাত
বৃহস্পতিবারে	বৃহস্পতিব
আমরা	আমি
রাত	রাত
১২টা	১২ট
১টার	১টা
দিকে	দিক
আইবাঁধে	আইবাঁধ
গিয়ে	গিয়ে
চাঁদ	চাঁদ
দেখতাম	দেখ

ফিরে	ফিরে
আসতাম	আসতা
গভীর	গভীর
রাতে	রাত

হোস্টেলে	হোস্ট
তেমন	তেমন
কোন	কোন
কড়াকড়ি	কড়াকড়
নিয়ম	নিয়ম
ছিল	থাকা
না	না

দেশে	দেশ
তখন	তখন
৫৬	৫৬
না	না
কি	কি
৫৩	৫
ধারা	ধারা
সেটারও	সেট
প্রয়োগ	প্রয়োগ
ছিল	থাকা
না	না

আমাদের	আমি
সঙ্গি	সঙ্গ
সাথীদের	সাথী
মধ্যে	মধ্যে
ছিল	থাকা
শুভ	শুভ
সাকী	সাক
রাসেল	রাসে
বয়েজউদ্দিন	বয়েজউদ্দি
আলম	আলম
আর	আর
ডেন্টালের	ডেন্টা
শাহীন	শাহী

কখনও	কখন
কখনও	কখন
আমি	আমি
যেতাম	যে
আমার	আমি
রুমমেট	রুম
আজাদ	আজাদ
রানা	রান
পরিমল	পরিমল
বিপ্লব	বিপ্ল
সজীব	সজী
মনির	মনি
আরও	আর
অনেকে	অনেক

পরবর্তিতে	পরবর্ত
আমাদের	আমি
বয়স	বয়স
বাড়তে	বা
লাগল	লাগা

আর	আর
বন্ধুরা	বন্ধু
এক	এক
এক	এক
জন	জন
এক	এক
এক	এক
ঘরানার	ঘরানা
রাজনীতিতে	রাজনীত
যোগ	যোগ
দিতে	দেওয়া
লাগল	লাগা

শুরু	শুরু
হলো	হলো
বিভক্তি	বিভক্ত

নিজেদের	নিজ
মধ্যে	মধ্যে
দলাদলি	দলাদল

সে	তিনি
এক	এক
বিশ্রী	বিশ্র
ব্যাপার	ব্যাপার

২০০১	২০০
সালে	সাল
ক্ষমতার	ক্ষমতা
পাট	পা
বদলে	বদল
গেল	গেল
অক্টোবর	অক্টোবর
মাসে	মাস

তার	তার
আগেই	আগ
অবশ্য	অবশ্য
জুন	জু
মাসে	মাস
আমাদের	আমি
প্রথম	প্রথম
পেশাগত	পেশাগ
পরীক্ষা	পরীক্ষা
শেষ	শেষ
হয়ে	হয়ে
গেছে	হও

আমরা	আমি
তখন	তখন
বাড়িতে	বাড়
বসে	বসা
রেজাল্টের	রেজাল্ট
অপেক্ষায়	অপেক্ষা

পাস	পাস
করলে	করা
শুরু	শুরু
থার্ড	থার্ড
ইয়ার	ইয়া
শুরু	শুরু

আর	আর
সেই	সেই
সাথে	সাথ
শুরু	শুরু
হাসপাতালে	হাসপাতালে
পদচারণা	পদচারণ

আগে	আগে
তো	তো
শুধু	শুধু
কলেজের	কলে
পড়া	পড়
এবার	এবার
শুরু	শুরু
হবে	হওয়া
কলেজ	কলেজ
আর	আর
হাসপাতাল	হাসপাতাল
দুই	দুই
জায়গাতে	জায়গ

সকালে	সকাল
কলেজে	কল
আর	আর
সন্ধ্যার	সন্ধ্যা
পর	পর
ওয়ার্ডে	ওয়ার্ড
কেস	কেস
দেখা	দেখা
এক্সামিনেশন	এক্সামিন
শেখা	শেখ

রুমে	রুম
ফিরতে	ফিা
ফিরতে	নেওরতে
প্রায়	প্রায়
রাত	রাত
৯টা	৯ট

এছাড়া	এছাড়
ভাষাবিজ্ঞান	ভাষাবিজ্ঞা
জ্ঞানের	জ্ঞা
অন্যান্য	অন্যান্য
শাখার	শাখা
সাথে	সাথ
মিলে	মিল
সমাজভাষাবিজ্ঞান	সমাজভাষাবিজ্ঞা
মনোভাষাবিজ্ঞান	মনোভাষাবিজ্ঞা
গণনামূলক	গণনামূল
ভাষাবিজ্ঞান	ভাষাবিজ্ঞা
ইত্যাদির	ইত্যাদি
জন্ম	জন্ম
দিয়েছে	দা

